AvailabilityZone,BilledCost,BillingAccountId,BillingAccountName,BillingCurrency,BillingPeriodEnd,BillingPeriodStart,ChargeCategory,ChargeClass,ChargeDescription,ChargeFrequency,ChargePeriodEnd,ChargePeriodStart,CommitmentDiscountCategory,CommitmentDiscountId,CommitmentDiscountName,CommitmentDiscountStatus,CommitmentDiscountType,ConsumedQuantity,ConsumedUnit,ContractedCost,ContractedUnitPrice,EffectiveCost,InvoiceIssuerName,ListCost,ListUnitPrice,PricingCategory,PricingQuantity,PricingUnit,ProviderName,PublisherName,RegionId,RegionName,ResourceId,ResourceName,ResourceType,ServiceCategory,ServiceName,SkuId,SkuPriceId,SubAccountId,SubAccountName,x_CostCategories,x_Discounts,x_Operation,x_ServiceCode,x_UsageType,Tags
,9.93E-06,428183493173,gsafj-nalpybhq-zcn57-cebq,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,$0.010 per GB - regional data transfer - in/out/between EC2 AZs or using elastic IPs or ELB,Usage-Based,2025-03-01 04:00:00+00:00,2025-03-01 03:00:00+00:00,,,,,,0.001273036,GB,9.93E-06,0.007800015082,9.93E-06,Amazon Web Services Australia Pty Ltd,1.27E-05,0.01,Standard,0.001273036,GB,AWS,Amazon Web Services Australia Pty Ltd,ap-southeast-2,Asia Pacific (Sydney),v-516rp0rp5s0psonq8,,,Compute,Amazon Elastic Compute Cloud,5D2MW78KPJPRV7WA,5D2MW78KPJPRV7WA.JRTCKXETXF.6YS6EN2CT7,176817837311,gsafj-pbr-rdhvcfcg-abacebq,[],"[[""total_discount"", -2.8007e-06], [""bundled_discount"", 0.0], [""edp_discount"", -2.8007e-06]]",InterZone-In,AmazonEC2,APS2-DataTransfer-Regional-Bytes,"{""application"": ""GAJ578535"", ""environment"": ""Sandpit (PoC)"", ""cost_center"": ""6555679415""}"
,0,428183493173,gsafj-nalpybhq-zcn57-cebq,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,$0.0 per Request - request under the monthly free tier,Usage-Based,2025-03-03 13:00:00+00:00,2025-03-03 12:00:00+00:00,,,,,,1,Requests,0,0,0,Amazon Web Services Australia Pty Ltd,0,0,Standard,1,Requests,AWS,Amazon Web Services Australia Pty Ltd,ap-southeast-2,Asia Pacific (Sydney),nea:njf:pbqrnegvsnpg:nc-fbhgurnfg-7:969729385293:ercbfvgbel/gsafj/znira-eryrnfr-ybpny,,,Developer Tools,AWS CodeArtifact,UD9FSDXZF2VVWH6Q,UD9FSDXZF2VVWH6Q.A429C66SYZ.6YS6EN2CT7,969729385293,gsafj-qpvf-pnzc-cebq,[],"[[""total_discount"", 0.0], [""bundled_discount"", 0.0], [""edp_discount"", null]]",GetRepositoryPermissionsPolicy,AWSCodeArtifact,APS2-Requests,
,1.01E-08,428183493173,gsafj-nalpybhq-zcn57-cebq,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,$0.098 per GB - next 40 TB / month data transfer out,Usage-Based,2025-03-04 01:00:00+00:00,2025-03-04 00:00:00+00:00,,,,,,1.32E-07,GB,1.01E-08,0.076399394856,1.01E-08,Amazon Web Services Australia Pty Ltd,1.30E-08,0.098,Standard,1.32E-07,GB,AWS,Amazon Web Services Australia Pty Ltd,ap-southeast-2,Asia Pacific (Sydney),fvg-pf-vvzf-qo-f8-ohpxrg-ncfr7,,bucket,Storage,Amazon Simple Storage Service,KRXM4TG87VW2NPHA,KRXM4TG87VW2NPHA.JRTCKXETXF.VF6T3GAUKQ,938828427530,gsafj-pf-pfbyhgvbaf-abacebq,[],"[[""total_discount"", -2.9e-09], [""bundled_discount"", 0.0], [""edp_discount"", -2.9e-09]]",ReadBucketPolicyStatus,AmazonS3,APS2-DataTransfer-Out-Bytes,"{""application"": ""FLG578978"", ""environment"": ""sit"", ""cost_center"": null}"
,0.0010595405,428183493173,gsafj-nalpybhq-zcn57-cebq,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,$0.10 per GB-month of data storage,Usage-Based,2025-03-06 10:00:00+00:00,2025-03-06 09:00:00+00:00,,,,,,0.0135838521,GB-Months,0.0010595405,0.078000002665,0.0010595405,Amazon Web Services Australia Pty Ltd,0.0013583852,0.1,Standard,0.0135838521,GB-Months,AWS,Amazon Web Services Australia Pty Ltd,ap-southeast-2,Asia Pacific (Sydney),nea:njf:rpe:nc-fbhgurnfg-7:741834794295:ercbfvgbel/phfgbzrewbhearlfhngebnqq5rs8r9o/pynffvsvrqebnqfvatrfgvbashapgvban0np17orercb,,,Compute,Amazon EC2 Container Registry (ECR),YBDKSSGX2GMZ62JV,YBDKSSGX2GMZ62JV.JRTCKXETXF.6YS6EN2CT7,741834794295,gsafj-nnv-qngncyngsbez-abacebq,[],"[[""total_discount"", -0.0002988447], [""bundled_discount"", 0.0], [""edp_discount"", -0.0002988447]]",APS2-TimedStorage-ByteHrs,AmazonECR,APS2-TimedStorage-ByteHrs,
,0,428183493173,gsafj-nalpybhq-zcn57-cebq,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,$0.048 per provisioned MiBps-month of gp3 - Asia Pacific (Sydney),Usage-Based,2025-03-02 11:00:00+00:00,2025-03-02 10:00:00+00:00,,,,,,0,GiB/Second-Months,0,38.3385599999748,0,Amazon Web Services Australia Pty Ltd,0,49.152,Standard,0,GiB/Second-Months,AWS,Amazon Web Services Australia Pty Ltd,ap-southeast-2,Asia Pacific (Sydney),iby-5q8814s2op0696pnn,,,Storage,Amazon Elastic Compute Cloud,NR674TZUSQXFCVM8,NR674TZUSQXFCVM8.JRTCKXETXF.6YS6EN2CT7,57816637909,gsafj-pbecbengrvg-rdhvcceq-cebq,[],"[[""total_discount"", 0.0], [""bundled_discount"", 0.0], [""edp_discount"", 0.0]]",CreateVolume-Gp3,AmazonEC2,APS2-EBS:VolumeP-Throughput.gp3,"{""application"": ""gsafj-pbecvg-rdhvc-cebq"", ""environment"": null, ""cost_center"": null}"
,0,428183493173,gsafj-nalpybhq-zcn57-cebq,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,Price per Rule (Shield Protected),Usage-Based,2025-03-17 12:00:00+00:00,2025-03-17 11:00:00+00:00,,,,,,0.001344086,Months,0,0,0,Amazon Web Services Australia Pty Ltd,0,0,Standard,0.001344086,Months,AWS,Amazon Web Services Australia Pty Ltd,global,Any,nea:njf:jns::646924912074:jronpy+ehyr/303pr842-p4q6-93s7-319s-ro79848r067q+8433n4rp-qs02-9250-o0sq-8r7459q21r57,,,Security,AWS WAF,PQA7KJ86P656PJTJ,PQA7KJ86P656PJTJ.JRTCKXETXF.6YS6EN2CT7,646924912074,gsafj-nqfg-qvpr-cebq,[],"[[""total_discount"", 0.0], [""bundled_discount"", 0.0], [""edp_discount"", null]]",Rule,awswaf,ShieldProtected-Rule,
,0.0071551805,428183493173,gsafj-nalpybhq-zcn57-cebq,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,$0.055 per GB-Month of snapshot data stored - Asia Pacific (Sydney),Usage-Based,2025-03-05 00:00:00+00:00,2025-03-04 23:00:00+00:00,,,,,,0.1667874244,GB-Months,0.0071551805,0.042899999959,0.0071551805,Amazon Web Services Australia Pty Ltd,0.0091733083,0.055,Standard,0.1667874244,GB-Months,AWS,Amazon Web Services Australia Pty Ltd,ap-southeast-2,Asia Pacific (Sydney),nea:njf:rp7:nc-fbhgurnfg-7:991928573576:fancfubg/fanc-5rqssq78204330570,,,Storage,Amazon Elastic Compute Cloud,759N2ESGG4Z2C95V,759N2ESGG4Z2C95V.JRTCKXETXF.6YS6EN2CT7,991928573576,gsafj-qge-bcragrkgrqvfpbirel-cebq,[],"[[""total_discount"", -0.0020181278], [""bundled_discount"", 0.0], [""edp_discount"", -0.0020181278]]",CreateSnapshot,AmazonEC2,APS2-EBS:SnapshotUsage,"{""application"": ""gsafj-qge-bcragrkgrqvfpbirel-cebq"", ""environment"": null, ""cost_center"": ""5555679315""}"
,0.001652976,428183493173,gsafj-nalpybhq-zcn57-cebq,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,$0.40 per million Amazon SQS standard requests in Tier1 in Asia Pacific (Sydney),Usage-Based,2025-03-06 07:00:00+00:00,2025-03-06 06:00:00+00:00,,,,,,5298,Requests,0.001652976,3.12E-07,0.001652976,Amazon Web Services Australia Pty Ltd,0.0021192,4.00E-07,Standard,5298,Requests,AWS,Amazon Web Services Australia Pty Ltd,ap-southeast-2,Asia Pacific (Sydney),nea:njf:fdf:nc-fbhgurnfg-7:705973089843:bp-cnex-evqr-yvir-RiragfFDF-62K1CXY0JBJT7,,,Integration,Amazon Simple Queue Service,GZ4K2VVYZYCA2NTU,GZ4K2VVYZYCA2NTU.JRTCKXETXF.VXGXCWQKTY,705973089843,gsafj-gfq-gznc-cebq,[],"[[""total_discount"", -0.000466224], [""bundled_discount"", 0.0], [""edp_discount"", -0.000466224]]",Receive,AWSQueueService,APS2-Requests-Tier1,"{""application"": ""Bcny Pbaarpg Cnex Evqr"", ""environment"": ""live"", ""cost_center"": null}"
,0,428183493173,gsafj-nalpybhq-zcn57-cebq,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,$0.000 per GB - data transfer in per month,Usage-Based,2025-03-06 17:00:00+00:00,2025-03-06 16:00:00+00:00,,,,,,1.28E-06,GB,0,0,0,Amazon Web Services Australia Pty Ltd,0,0,Standard,1.28E-06,GB,AWS,Amazon Web Services Australia Pty Ltd,ca-central-1,External,,,,Integration,Amazon Simple Workflow Service,AGTENEMUME7EWZNM,AGTENEMUME7EWZNM.JRTCKXETXF.6YS6EN2CT7,509128127298,gsafj-bf-cgvcf57-cebq,[],"[[""total_discount"", 0.0], [""bundled_discount"", 0.0], [""edp_discount"", null]]",Unknown,AmazonSWF,CAN1-DataTransfer-In-Bytes,
ap-southeast-2a,0,428183493173,gsafj-nalpybhq-zcn57-cebq,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,$0.2976 per On Demand RHEL m6i.xlarge Instance Hour,Usage-Based,2025-03-03 01:00:00+00:00,2025-03-03 00:00:00+00:00,Spend,nea:njf:fnivatfcynaf::428183493173:fnivatfcyna/42025099-91q3-9ss1-415s-o4394s87or17,,Used,Savings Plan,1,Hours,0.232128,0.232128,0.144807,Amazon Web Services Australia Pty Ltd,0.2976,0.2976,Committed,1,Hours,AWS,Amazon Web Services Australia Pty Ltd,ap-southeast-2,Asia Pacific (Sydney),v-5n01s8o2q0991624s,,instance,Compute,Amazon Elastic Compute Cloud,FKV56W9X8J666VFN,FKV56W9X8J666VFN.JRTCKXETXF.6YS6EN2CT7,996429845353,fg-svanaprvg-ncc-abacebq,[],"[[""total_discount"", 0.0], [""bundled_discount"", 0.0], [""edp_discount"", null]]",RunInstances:0010,AmazonEC2,APS2-BoxUsage:m6i.xlarge,"{""application"": ""FLG571015"", ""environment"": ""dev"", ""cost_center"": ""Hanyybpngrq""}"
