billedcost,billingaccountid,billingaccountname,billingaccounttype,billingcurrency,billingperiodend,billingperiodstart,chargecategory,chargeclass,chargedescription,chargefrequency,chargeperiodend,chargeperiodstart,commitmentdiscountid,commitmentdiscountname,commitmentdiscountquantity,commitmentdiscountstatus,commitmentdiscounttype,consumedquantity,consumedunit,contractedcost,contractedunitprice,effectivecost,invoiceissuername,listcost,listunitprice,pricingcategory,pricingquantity,pricingunit,providername,publishername,regionid,regionname,resourceid,resourcename,resourcetype,servicecategory,servicename,skuid,skupriceid,subaccountid,subaccountname,subaccounttype,x_accountid,x_accountname,x_accountownerid,x_billedcostinusd,x_billedunitprice,x_billingaccountid,x_billingaccountname,x_billingexchangerate,x_billingexchangeratedate,x_billingprofileid,x_billingprofilename,x_contractedcostinusd,x_costallocationrulename,x_costcenter,x_customerid,x_customername,x_effectivecostinusd,x_effectiveunitprice,x_invoiceid,x_invoiceissuerid,x_invoicesectionid,x_invoicesectionname,x_listcostinusd,x_partnercreditapplied,x_partnercreditrate,x_pricingblocksize,x_pricingcurrency,x_pricingsubcategory,x_pricingunitdescription,x_publishercategory,x_publisherid,x_resellerid,x_resellername,x_resourcegroupname,x_resourcetype,x_serviceperiodend,x_serviceperiodstart,x_skudescription,x_skudetails,x_skuiscrediteligible,x_skumetercategory,x_skumeterid,x_skumetername,x_skumetersubcategory,x_skuofferid,x_skuorderid,x_skuordername,x_skupartnumber,x_skuregion,x_skuservicefamily,x_skuterm,x_skutier,tags
0.033876058,/providers/Microsoft.Billing/billingAccounts/92487455,Genafcbeg sbe AFJ,Billing Account,AUD,2/1/2025 0:00,1/1/2025 0:00,Usage,,Premium SSD Managed Disks - P10 LRS - AU East,Usage-Based,1/10/2025 0:00,1/9/2025 0:00,,,,,,0.001344,Units/Month,0.033876058,25.2054,0.033876058,Microsoft,0.039648,29.5,Standard,0.001344,Units/Month,Microsoft,Microsoft,australiaeast,Australia East,/fhofpevcgvbaf/n6r3r1ss-4538-976n-4qq3-no3rq59p25p3/erfbheprtebhcf/terngreflqarl-qan-nvzy-et-qri/cebivqref/zvpebfbsg.znpuvaryrneavatfreivprf/jbexfcnprf/terngreflqarl-qan-nvzy-zyj-qri,terngreflqarl-qan-nvzy-zyj-qri,Azure Machine Learning workspace,AI and Machine Learning,Azure Machine Learning,1073739,1073739,/fhofpevcgvbaf/n6r3r1ss-4538-976n-4qq3-no3rq59p25p3,gsafj-rqnf-nanylgvpf-abacebq,Subscription,640371,fip-nmher-fhonhgb@GenafcbegPybhq.bazvpebfbsg.pbz,fip-nmher-fhonhgb@genafcbegpybhq.bazvpebfbsg.pbz,,25.2054,92487455,Genafcbeg sbe AFJ,1,1/1/2025 0:00,92487455,Genafcbeg sbe AFJ,,,C.5564271,,,,25.2054,,,696330,Qngnpbz,,,,1,AUD,Standard,1/Month,Cloud Provider,Microsoft,,,terngreflqarl-qan-nvzy-et-qri,Microsoft.MachineLearningServices/workspaces,,,Premium SSD Managed Disks - P10 LRS - AU East,"{""NodeType"": ""Dedicated"", ""PoolName"": ""greatersydney-dna-aiml-s_9d4ebd17-9b75-40d6-9493-543b888f2163"", ""UsageType"": ""disks"", ""AccountName"": ""bai24499671101746143625a"", ""ClusterType"": ""DSI"", ""SourceEventId"": ""5aae262d-3e45-2c03-c3a7-ce3fcb13337c"", ""AmlWorkspaceId"": ""4b2140f2-ea1d-4d20-9bfa-aa377f34f8b3"", ""AMLResourceType"": ""Provisioner.Batch"", ""EmittingService"": ""Machine Learning Service - Non DSVM"", ""Processor_Version"": ""BillingProcessorV2"", ""HostSubscriptionId"": ""638e6bf4-26ad-478e-9cec-b47a06e84c00"", ""PoolAllocationMode"": ""BatchService"", ""SourceResourceProvider"": ""Batch""}",1,Storage,94e88f5b-4418-4016-b601-badfedc45d20,P10 LRS Disk,Premium SSD Managed Disks,MS-AZR-0017P,,,AAD-18120,AU East,,,,"{""application"": ""gsafj-rqnf-nanylgvpf-abacebq"", ""environment"": ""Dev"", ""cost_center"": ""5555637666""}"
0,/providers/Microsoft.Billing/billingAccounts/92487455,Genafcbeg sbe AFJ,Billing Account,AUD,2/1/2025 0:00,1/1/2025 0:00,Usage,,Rtn Preference: MGN - Standard Data Transfer In - AU East,Usage-Based,1/10/2025 0:00,1/9/2025 0:00,,,,,,0.000144,GB,0,0,0,Microsoft,0,0,Standard,0.000144,GB,Microsoft,Microsoft,australiaeast,Australia East,/fhofpevcgvbaf/n6r3r1ss-4538-976n-4qq3-no3rq59p25p3/erfbheprtebhcf/flqarlzrgeb-qvtvgny-qngndhnyvgl-et-abacebq/cebivqref/zvpebfbsg.fgbentr/fgbentrnppbhagf/flqzrgebqvtvgny5ngnppqri,flqzrgebqvtvgny5ngnppqri,Storage account,Storage,Storage Accounts,1010515,1010515,/fhofpevcgvbaf/n6r3r1ss-4538-976n-4qq3-no3rq59p25p3,gsafj-rqnf-nanylgvpf-abacebq,Subscription,640371,fip-nmher-fhonhgb@GenafcbegPybhq.bazvpebfbsg.pbz,fip-nmher-fhonhgb@genafcbegpybhq.bazvpebfbsg.pbz,,0,92487455,Genafcbeg sbe AFJ,1,1/1/2025 0:00,92487455,Genafcbeg sbe AFJ,,,C.5564271,,,,0,,,696330,Qngnpbz,,,,1,AUD,Standard,1 GB,Cloud Provider,Microsoft,,,FlqarlZrgeb-Qvtvgny-QngnDhnyvgl-et-abacebq,Microsoft.Storage/storageAccounts,,,Rtn Preference: MGN - Standard Data Transfer In - AU East,,1,Bandwidth,42bb05e1-6f42-4de1-a6ba-7ffb976cb560,Standard Data Transfer In,Rtn Preference: MGN,MS-AZR-0017P,,,Q5H-00019,AU East,,,,"{""application"": ""qrsnhyg"", ""environment"": ""nonprod"", ""cost_center"": ""1555186563""}"
0.000296113,/providers/Microsoft.Billing/billingAccounts/92487455,Genafcbeg sbe AFJ,Billing Account,AUD,2/1/2025 0:00,1/1/2025 0:00,Usage,,Microsoft Defender for Storage - Standard Transactions,Usage-Based,1/10/2025 0:00,1/9/2025 0:00,,,,,,116,Units,0.000296113,0.025527,0.000296113,Microsoft,0.00034684,0.0299,Standard,0.0116,Units,Microsoft,Microsoft,australiaeast,Australia East,/fhofpevcgvbaf/n6r3r1ss-4538-976n-4qq3-no3rq59p25p3/erfbheprtebhcf/rqnf-funerq-abacebq-znantrzrag/cebivqref/zvpebfbsg.fgbentr/fgbentrnppbhagf/rqnfqngnnepuvir,rqnfqngnnepuvir,Storage account,Storage,Storage Accounts,611182811,611182811,/fhofpevcgvbaf/n6r3r1ss-4538-976n-4qq3-no3rq59p25p3,gsafj-rqnf-nanylgvpf-abacebq,Subscription,640371,fip-nmher-fhonhgb@GenafcbegPybhq.bazvpebfbsg.pbz,fip-nmher-fhonhgb@genafcbegpybhq.bazvpebfbsg.pbz,,0.025527,92487455,Genafcbeg sbe AFJ,1,1/1/2025 0:00,92487455,Genafcbeg sbe AFJ,,,C.5564271,,,,0.025527,,,696330,Qngnpbz,,,,10000,AUD,Standard,10K,Cloud Provider,Microsoft,,,RQNF-Funerq-AbaCebq-Znantrzrag,Microsoft.Storage/storageAccounts,,,Microsoft Defender for Storage - Standard Transactions,"{""Cloud"": ""Azure"", ""StorageService"": ""Blob""}",1,Microsoft Defender for Cloud,8a752c6d-6098-4f15-8828-3716ba46d524,Standard Transactions,Storage,MS-AZR-0017P,,,AAA-97331,,,,,"{""application"": ""gsafj-rqnf-nanylgvpf-abacebq"", ""environment"": ""Prod"", ""cost_center"": ""5555637666""}"
8.42E-05,/providers/Microsoft.Billing/billingAccounts/92487455,Genafcbeg sbe AFJ,Billing Account,AUD,2/1/2025 0:00,1/1/2025 0:00,Usage,,Microsoft Defender for Storage - Standard Transactions,Usage-Based,1/10/2025 0:00,1/9/2025 0:00,,,,,,33,Units,8.42E-05,0.025527,8.42E-05,Microsoft,0.00009867,0.0299,Standard,0.0033,Units,Microsoft,Microsoft,australiaeast,Australia East,/fhofpevcgvbaf/n6r3r1ss-4538-976n-4qq3-no3rq59p25p3/erfbheprtebhcf/vac-qvtvgny-et-cbp56/cebivqref/zvpebfbsg.fgbentr/fgbentrnppbhagf/vacqvtvgnyyetceg6,vacqvtvgnyyetceg6,Storage account,Storage,Storage Accounts,611182811,611182811,/fhofpevcgvbaf/n6r3r1ss-4538-976n-4qq3-no3rq59p25p3,gsafj-rqnf-nanylgvpf-abacebq,Subscription,640371,fip-nmher-fhonhgb@GenafcbegPybhq.bazvpebfbsg.pbz,fip-nmher-fhonhgb@genafcbegpybhq.bazvpebfbsg.pbz,,0.025527,92487455,Genafcbeg sbe AFJ,1,1/1/2025 0:00,92487455,Genafcbeg sbe AFJ,,,C.5564271,,,,0.025527,,,696330,Qngnpbz,,,,10000,AUD,Standard,10K,Cloud Provider,Microsoft,,,VaC-Qvtvgny-et-cbp56,Microsoft.Storage/storageAccounts,,,Microsoft Defender for Storage - Standard Transactions,"{""Cloud"": ""Azure"", ""StorageService"": ""Files""}",1,Microsoft Defender for Cloud,8a752c6d-6098-4f15-8828-3716ba46d524,Standard Transactions,Storage,MS-AZR-0017P,,,AAA-97331,,,,,"{""application"": ""qrsnhyg"", ""environment"": ""Nonprod"", ""cost_center"": ""5555637666""}"
0.000127836,/providers/Microsoft.Billing/billingAccounts/92487455,Genafcbeg sbe AFJ,Billing Account,AUD,2/1/2025 0:00,1/1/2025 0:00,Usage,,Azure Data Factory v2 - Cloud - External Pipeline Activity,Usage-Based,1/10/2025 0:00,1/9/2025 0:00,,,,,,0.4,Hours,0.000127836,0.00031959,0.000127836,Microsoft,0.0001496,0.000374,Standard,0.4,Hours,Microsoft,Microsoft,australiaeast,Australia East,/fhofpevcgvbaf/n6r3r1ss-4538-976n-4qq3-no3rq59p25p3/erfbheprtebhcf/gff-nanylgvpf-et-grfg/cebivqref/zvpebfbsg.qngnsnpgbel/snpgbevrf/gff-nqs-fabj-grfg,GFF-NQS-FABJ-GRFG,Data factory (V2),Integration,Azure Data Factory,1075646,1075646,/fhofpevcgvbaf/n6r3r1ss-4538-976n-4qq3-no3rq59p25p3,gsafj-rqnf-nanylgvpf-abacebq,Subscription,640371,fip-nmher-fhonhgb@GenafcbegPybhq.bazvpebfbsg.pbz,fip-nmher-fhonhgb@genafcbegpybhq.bazvpebfbsg.pbz,,0.00031959,92487455,Genafcbeg sbe AFJ,1,1/1/2025 0:00,92487455,Genafcbeg sbe AFJ,,,C.5564271,,,,0.00031959,,,696330,Qngnpbz,,,,1,AUD,Standard,1 Hour,Cloud Provider,Microsoft,,,GFF-NANYLGVPF-ET-GRFG,MICROSOFT.DATAFACTORY/FACTORIES,,,Azure Data Factory v2 - Cloud - External Pipeline Activity,,1,Azure Data Factory v2,1eb459cb-8b5f-4520-be16-0c52ac6d05ba,Cloud External Pipeline Activity,,MS-AZR-0017P,,,AAD-19285,,,,,"{""application"": ""596760"", ""environment"": ""Tst"", ""cost_center"": ""6555672185""}"
1.02E-06,/providers/Microsoft.Billing/billingAccounts/92487455,Genafcbeg sbe AFJ,Billing Account,AUD,2/1/2025 0:00,1/1/2025 0:00,Usage,,Queues v2 - GRS - Class 1 Operations - AU East,Usage-Based,1/10/2025 0:00,1/9/2025 0:00,,,,,,1,Units,1.02E-06,0.01022085,1.02E-06,Microsoft,0.000001197,0.01197,Standard,0.0001,Units,Microsoft,Microsoft,australiaeast,Australia East,/fhofpevcgvbaf/n6r3r1ss-4538-976n-4qq3-no3rq59p25p3/erfbheprtebhcf/npgvirgenafcbeg-et-ceq-557/cebivqref/zvpebfbsg.fgbentr/fgbentrnppbhagf/npgvirgenafqanoyboceq56,npgvirgenafqanoyboceq56,Storage account,Storage,Storage Accounts,1049076,1049076,/fhofpevcgvbaf/n6r3r1ss-4538-976n-4qq3-no3rq59p25p3,gsafj-rqnf-nanylgvpf-abacebq,Subscription,640371,fip-nmher-fhonhgb@GenafcbegPybhq.bazvpebfbsg.pbz,fip-nmher-fhonhgb@genafcbegpybhq.bazvpebfbsg.pbz,,0.01022085,92487455,Genafcbeg sbe AFJ,1,1/1/2025 0:00,92487455,Genafcbeg sbe AFJ,,,C.5564271,,,,0.01022085,,,696330,Qngnpbz,,,,10000,AUD,Standard,10K,Cloud Provider,Microsoft,,,NpgvirGenafcbeg-et-ceq-557,Microsoft.Storage/storageAccounts,,,Queues v2 - GRS - Class 1 Operations - AU East,,1,Storage,3232b0c3-9f3f-4e97-844c-99387fc4139a,GRS Class 1 Operations,Queues v2,MS-AZR-0017P,,,AAA-71337,AU East,,,,"{""application"": ""qrsnhyg"", ""environment"": ""Prod"", ""cost_center"": ""5555637666""}"
7.486848,/providers/Microsoft.Billing/billingAccounts/92487455,Genafcbeg sbe AFJ,Billing Account,AUD,2/1/2025 0:00,1/1/2025 0:00,Usage,,Azure Database for PostgreSQL Flexible Server General Purpose Ddsv4 Series Compute - 1 vCore - vCore - AU East,Usage-Based,1/10/2025 0:00,1/9/2025 0:00,,,,,,48,Hours,7.486848,0.155976,7.486848,Microsoft,8.7648,0.1826,Standard,48,Hours,Microsoft,Microsoft,australiaeast,Australia East,/fhofpevcgvbaf/n6r3r1ss-4538-976n-4qq3-no3rq59p25p3/erfbheprtebhcf/pfg-nffrgnv-et-qri57/cebivqref/zvpebfbsg.qosbecbfgterfdy/syrkvoyrfreiref/pfg-nffrgnv-ctfdy-qri56,pfg-nffrgnv-ctfdy-qri56,Azure Database for PostgreSQL - Flexible Server,Databases,Azure DB for PostgreSQL,616314466,616314466,/fhofpevcgvbaf/n6r3r1ss-4538-976n-4qq3-no3rq59p25p3,gsafj-rqnf-nanylgvpf-abacebq,Subscription,640371,fip-nmher-fhonhgb@GenafcbegPybhq.bazvpebfbsg.pbz,fip-nmher-fhonhgb@genafcbegpybhq.bazvpebfbsg.pbz,,0.155976,92487455,Genafcbeg sbe AFJ,1,1/1/2025 0:00,92487455,Genafcbeg sbe AFJ,,,C.5564271,,,,0.155976,,,696330,Qngnpbz,,,,1,AUD,Standard,1 Hour,Cloud Provider,Microsoft,,,pfg-nffrgnv-et-qri57,Microsoft.DBforPostgreSQL/flexibleservers,,,Azure Database for PostgreSQL Flexible Server General Purpose Ddsv4 Series Compute - 1 vCore - vCore - AU East,"{""IsHAEnabled"": ""False""}",1,Azure Database for PostgreSQL,4d36defa-b2e2-5553-9d88-b24e972960f6,vCore,Flexible Server General Purpose Ddsv4 Series Compute,MS-AZR-0017P,,,AAJ-89501,AU East,,,,"{""application"": ""PFG Nffrg NV"", ""environment"": ""Dev"", ""cost_center"": ""6555696525""}"
1.94E-05,/providers/Microsoft.Billing/billingAccounts/92487455,Genafcbeg sbe AFJ,Billing Account,AUD,2/1/2025 0:00,1/1/2025 0:00,Usage,,Queues v2 - ZRS - Class 2 Operations - AU East,Usage-Based,1/10/2025 0:00,1/9/2025 0:00,,,,,,38,Units,1.94E-05,0.00511545,1.94E-05,Microsoft,0.000022762,0.00599,Standard,0.0038,Units,Microsoft,Microsoft,australiaeast,Australia East,/fhofpevcgvbaf/n6r3r1ss-4538-976n-4qq3-no3rq59p25p3/erfbheprtebhcf/epzc-nanylgvpf-et-gfg/cebivqref/zvpebfbsg.fgbentr/fgbentrnppbhagf/epzcnanylgvpfqngngfg56,epzcnanylgvpfqngngfg56,Storage account,Storage,Storage Accounts,1082947,1082947,/fhofpevcgvbaf/n6r3r1ss-4538-976n-4qq3-no3rq59p25p3,gsafj-rqnf-nanylgvpf-abacebq,Subscription,640371,fip-nmher-fhonhgb@GenafcbegPybhq.bazvpebfbsg.pbz,fip-nmher-fhonhgb@genafcbegpybhq.bazvpebfbsg.pbz,,0.00511545,92487455,Genafcbeg sbe AFJ,1,1/1/2025 0:00,92487455,Genafcbeg sbe AFJ,,,C.5564271,,,,0.00511545,,,696330,Qngnpbz,,,,10000,AUD,Standard,10K,Cloud Provider,Microsoft,,,EPZC-Nanylgvpf-et-gfg,Microsoft.Storage/storageAccounts,,,Queues v2 - ZRS - Class 2 Operations - AU East,,1,Storage,1b2162b1-3fa7-43ac-be7d-1787c033a379,ZRS Class 2 Operations,Queues v2,MS-AZR-0017P,,,AAA-71479,AU East,,,,"{""application"": ""qrsnhyg"", ""environment"": ""Tst"", ""cost_center"": ""5555637666""}"
0,/providers/Microsoft.Billing/billingAccounts/92487455,Genafcbeg sbe AFJ,Billing Account,AUD,2/1/2025 0:00,1/1/2025 0:00,Usage,,Azure Data Lake Storage Gen2 Hierarchical Namespace - Delete Operations,Usage-Based,1/10/2025 0:00,1/9/2025 0:00,,,,,,1,Units,0,0,0,Microsoft,0,0,Standard,0.0001,Units,Microsoft,Microsoft,australiaeast,Australia East,/fhofpevcgvbaf/n6r3r1ss-4538-976n-4qq3-no3rq59p25p3/erfbheprtebhcf/c7c-nanylgvpf-et/cebivqref/zvpebfbsg.fgbentr/fgbentrnppbhagf/c7cgpffuner,c7cgpffuner,Storage account,Storage,Storage Accounts,611187921,611187921,/fhofpevcgvbaf/n6r3r1ss-4538-976n-4qq3-no3rq59p25p3,gsafj-rqnf-nanylgvpf-abacebq,Subscription,640371,fip-nmher-fhonhgb@GenafcbegPybhq.bazvpebfbsg.pbz,fip-nmher-fhonhgb@genafcbegpybhq.bazvpebfbsg.pbz,,0,92487455,Genafcbeg sbe AFJ,1,1/1/2025 0:00,92487455,Genafcbeg sbe AFJ,,,C.5564271,,,,0,,,696330,Qngnpbz,,,,10000,AUD,Standard,10K,Cloud Provider,Microsoft,,,C7C-Nanylgvpf-et,Microsoft.Storage/storageAccounts,,,Azure Data Lake Storage Gen2 Hierarchical Namespace - Delete Operations,,1,Storage,322c85bb-d7b0-410f-84f8-05a53bc699ae,Delete Operations,Azure Data Lake Storage Gen2 Hierarchical Namespace,MS-AZR-0017P,,,AAD-37581,,,,,"{""application"": ""qrsnhyg"", ""environment"": ""Prod"", ""cost_center"": ""5555637666""}"
0.000038592,/providers/Microsoft.Billing/billingAccounts/92487455,Genafcbeg sbe AFJ,Billing Account,AUD,2/1/2025 0:00,1/1/2025 0:00,Usage,,Azure Data Factory v2 - Cloud - Read Write Operations,Usage-Based,1/10/2025 0:00,1/9/2025 0:00,,,,,,3,Units,0.000038592,0.6432,0.000038592,Microsoft,0.000045,0.75,Standard,0.00006,Units,Microsoft,Microsoft,australiaeast,Australia East,/fhofpevcgvbaf/n6r3r1ss-4538-976n-4qq3-no3rq59p25p3/erfbheprtebhcf/flqarlzrgeb-qvtvgny-pqe-et-qri/cebivqref/zvpebfbsg.qngnsnpgbel/snpgbevrf/flqarlzrgeb-qvtvgny-pqe-qs-qri,FLQARLZRGEB-QVTVGNY-PQE-QS-QRI,Data factory (V2),Integration,Azure Data Factory,1076487,1076487,/fhofpevcgvbaf/n6r3r1ss-4538-976n-4qq3-no3rq59p25p3,gsafj-rqnf-nanylgvpf-abacebq,Subscription,640371,fip-nmher-fhonhgb@GenafcbegPybhq.bazvpebfbsg.pbz,fip-nmher-fhonhgb@genafcbegpybhq.bazvpebfbsg.pbz,,0.6432,92487455,Genafcbeg sbe AFJ,1,1/1/2025 0:00,92487455,Genafcbeg sbe AFJ,,,C.5564271,,,,0.6432,,,696330,Qngnpbz,,,,50000,AUD,Standard,50K,Cloud Provider,Microsoft,,,FLQARLZRGEB-QVTVGNY-PQE-ET-QRI,MICROSOFT.DATAFACTORY/FACTORIES,,,Azure Data Factory v2 - Cloud - Read Write Operations,,1,Azure Data Factory v2,d87c061a-44b8-4898-a94c-60355ea7a2f7,Cloud Read Write Operations,,MS-AZR-0017P,,,AAD-19283,,,,,"{""application"": ""qrsnhyg"", ""environment"": ""Dev"", ""cost_center"": ""1555186563""}"
